,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
107,GTX 1070 Ti,,[ASUS] CERBERUS 지포스 GTX1070 Ti A8G D5 8GB,\720000,ASUS,GTX 1070 Ti,1670 MHz,1746 MHz,2,8008 MHz,270mm,1,,180W,500W,,1,,2,,2
108,GTX 1070 Ti,,[ASUS] ROG STRIX 지포스 GTX1070 Ti A8G GAMING D5 8GB,\649600,ASUS,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,298mm,1,,180W,500W,,1,,1,,3
109,GTX 1070 Ti,,[Colorful] 지포스 GTX1070 Ti 블루호크 D5 8GB,\578800,Colorful,GTX 1070 Ti,,,,,,,2,120W,,,1,,2,,2
110,GTX 1070 Ti,,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN U-TOP D5 8GB,\698990,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,305mm,2,,180W,,,1,,2,,2
111,GTX 1070 Ti,,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN X D5 8GB,\642090,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,315mm,2,,180W,,,1,,2,,2
112,GTX 1070 Ti,,[EVGA] 지포스 GTX1070 Ti FTW2 GAMING D5 8GB,\759000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,2,,235W,500W,,1,,1,,3
113,GTX 1070 Ti,,[EVGA] 지포스 GTX1070 Ti SC GAMING D5 8GB,\659000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,1,,217W,500W,,1,,1,,3
114,GTX 1070 Ti,,[GAINWARD] 지포스 GTX1070 Ti 게이머 스피릿 D5 8GB Dual,\596600,GAINWARD,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,252mm,1,,180W,500W,,1,,1,,3
115,GTX 1070 Ti,,[GeIL] 지포스 GTX1070 Ti D5 8GB,\610900,GeIL,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,280mm,,1,180W,500W,,1,,1,,3
116,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti AORUS D5 8GB,\681200,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,,,500W,,1,,1,,3
117,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti Gaming D5 8GB,\654300,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,,,500W,,1,,1,,3
118,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti UDV D5 8GB 윈드포스,\631400,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,280mm,1,,,500W,,1,,1,,3
119,GTX 1070 Ti,,[inno3D] iChiLL GTX1070 Ti D5 8GB X3,\-,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,302.2mm,1,,180W,500W,,1,,1,,3
120,GTX 1070 Ti,,[inno3D] iChiLL GTX1070 Ti D5 8GB X4,\-,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,4,8000 MHz,302.2mm,1,,180W,500W,,1,,1,,3
121,GTX 1070 Ti,,[inno3D] 지포스 GTX1070 Ti D5 8GB X2,\588900,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,266mm,1,,180W,500W,,1,,1,,3
122,GTX 1070 Ti,,[MANLI] 지포스 GTX1070 Ti Black Scale D5 8GB,\787990,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,1,8008 MHz,281mm,1,,180W,500W,,1,,1,,3
123,GTX 1070 Ti,,[MANLI] 지포스 GTX1070 Ti Gallardo D5 8GB,\585600,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,308mm,1,,180W,500W,,1,,1,,3
124,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 아머 D5 8GB,\582000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
125,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6,\640000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
126,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 티타늄 D5 8GB 트윈프로져6,\726800,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
127,GTX 1070 Ti,,[PALIT] 지포스 GTX1070 Ti DUAL D5 8GB,\600800,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,252mm,1,,180W,500W,,1,,1,,3
128,GTX 1070 Ti,,[PALIT] 지포스 GTX1070 Ti JETSTREAM D5 8GB,\667400,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,,1,,1,,3
129,GTX 1070 Ti,,[ZOTAC] AMP EXTREME 지포스 GTX1070 Ti D5 8GB,\1049990,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,325mm,2,,180W,500W,,1,,1,,3
130,GTX 1070 Ti,,[ZOTAC] AMP 지포스 GTX1070 Ti AIR D5 8GB,\583100,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,211mm,1,,180W,500W,,1,,1,,3
131,GTX 1070 Ti,,[ZOTAC] AMP 지포스 GTX1070 Ti D5 8GB,\625000,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,300mm,2,,180W,500W,,1,,1,,3
132,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti EXOC D5 8GB G天命,\626900,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,,1,,1,,3
133,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti Hall Of Fame D5 8GB,\758000,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,330mm,2,,,,,1,,1,,3
134,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti 개간지 EXOC D5 8GB,\660300,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,,1,,1,,3
