,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
70,LGA 1151v2,,[GIGABYTE] B360M D2V 듀러블에디션,\93940,GIGABYTE,LGA 1151v2,B360,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
71,LGA 1151v2,,[GIGABYTE] B360M D3H 듀러블에디션,\106000,GIGABYTE,LGA 1151v2,B360,m-ATX,24.4,23,DDR4,4 개,2666Mhz,,2,O,O,,O,O,,1,1,2,2,6,,1,,,Intel I219V,,,,O
72,LGA 1151v2,,[GIGABYTE] B360M D3V 듀러블에디션,\94800,GIGABYTE,LGA 1151v2,B360,m-ATX,24.4,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
73,LGA 1151v2,,[GIGABYTE] B360M DS3H 듀러블에디션,\95400,GIGABYTE,LGA 1151v2,B360,m-ATX,22.6,20.5,DDR4,4 개,2666Mhz,,,O,O,,O,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,O
74,LGA 1151v2,,[GIGABYTE] B360M H 듀러블에디션,\90000,GIGABYTE,LGA 1151v2,B360,m-ATX,22.6,18.5,DDR4,2 개,,,,,O,,O,,,,,4,2,4,,1,,,,,,,
75,LGA 1151v2,,[GIGABYTE] B360M HD3 듀러블에디션,\93950,GIGABYTE,LGA 1151v2,B360,m-ATX,24.4,18.5,DDR4,2 개,2666Mhz,,2,O,O,,O,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
76,LGA 1151v2,,[GIGABYTE] B360N WiFi 듀러블에디션,\140400,GIGABYTE,LGA 1151v2,B360,m-ITX,17,17,DDR4,2 개,,,,,,,O,,,,,4,2,4,,1,,,,O,O,,
77,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,LGA 1151v2,,[MSI] B360 게이밍 아틱,\131000,MSI,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,,O,1,,1,2,2,5,,1,,,Intel I219V,,,,O
79,LGA 1151v2,,[MSI] B360 게이밍 프로 카본,\149000,MSI,LGA 1151v2,B360,ATX,30.4,24.3,DDR4,4 개,2666Mhz,,2,,,,O,O,1,,1,4,2,6,,2,,,Intel I219V,,,,O
80,LGA 1151v2,,[MSI] B360 게이밍 플러스,\131000,MSI,LGA 1151v2,B360,ATX,30.4,24.3,DDR4,4 개,2666Mhz,,,O,,,,O,1,,1,2,2,5,,1,,,Intel I219V,,,,O
81,LGA 1151v2,,[MSI] B360-A PRO,\120000,MSI,LGA 1151v2,B360,ATX,30.4,24.3,DDR4,4 개,2666Mhz,,2,O,,,,O,1,,1,2,2,5,,1,,,Intel I219V,,,,
82,LGA 1151v2,,[MSI] B360-F PRO,\254000,MSI,LGA 1151v2,B360,ATX,30.5,22.5,DDR4,2 개,,,,O,,,O,,,,,2,4,4,,,,,,,,,
83,LGA 1151v2,,[MSI] B360I 게이밍 프로 AC,\148000,MSI,LGA 1151v2,B360,m-ITX,17,17,DDR4,4 개,2666Mhz,,,O,,,,O,,,2,2,2,4,,2,,,Realtek RTL8111H,O,5.0,,O
