,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
80,LGA 1151,,[Intel] i5-7600K (카비레이크),\288400,Core i5,Intel,4개,4개,3.8 Ghz,4.2 Ghz,6MB,HD 630,1150Mhz,2400Mhz,91W,LGA 1151,O,X,i5-7600K
81,0,, ,,,,,,,,,,,,,,,,
82,LGA 2066,,[Intel] i5-7640X (카비레이크-X),\184100,Core i5,Intel,4개,4개,4 Ghz,4.2 Ghz,6MB,N/A,N/A,2400Mhz,112W,LGA 2066,O,X,i5-7640X
83,0,, ,,,,,,,,,,,,,,,,
84,LGA 1151v2,,[Intel] i5-8400 (커피레이크),\219900,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8400
85,LGA 1151v2,,[Intel] i5-8400 (커피레이크)(벌크),\206000,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8400
86,LGA 1151v2,,[Intel] i5-8400 (커피레이크)(벌크+쿨러),\210000,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8400
87,LGA 1151v2,,[Intel] i5-8500 (커피레이크),\235000,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8500
88,LGA 1151v2,,[Intel] i5-8500 (커피레이크)(벌크),\224000,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8500
89,LGA 1151v2,,[Intel] i5-8500 (커피레이크)(벌크+쿨러),\227900,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8500
90,LGA 1151v2,,[Intel] i5-8600 (커피레이크),\240000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8600
91,LGA 1151v2,,[Intel] i5-8600 (커피레이크)(벌크),\240000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8600
92,LGA 1151v2,,[Intel] i5-8600 (커피레이크)(벌크+쿨러),\239000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8600
93,LGA 1151v2,,[Intel] i5-8600K (커피레이크),\277000,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,O,X,i5-8600K
94,LGA 1151v2,,[Intel] i5-8600K (커피레이크)(벌크),\261300,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,X,X,i5-8600K
95,LGA 1151v2,,[Intel] i5-8600K (커피레이크)(벌크+쿨러),\264700,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,X,O,i5-8600K
96,,, ,,,,,,,,,,,,,,,,
97,,,-- [Intel] i7 / i9 --,,,,,,,,,,,,,,,,
98,,, ,,,,,,,,,,,,,,,,
99,LGA 1150,,[Intel] i7-4770 (하스웰) (벌크 + 쿨러),\340000,Core i7,Intel,4개,8개,3.4 Ghz,3.9 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i7-4770
100,LGA 1150,,[Intel] i7-4770K (하스웰) (벌크),\369740,Core i7,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD 4600,1250Mhz,1600Mhz,84W,LGA 1150,X,X,i7-4770K
101,LGA 1150,,[Intel] i7-4790 (하스웰 리프레시),\403140,Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,i7-4790
102,LGA 1150,,[Intel] i7-4790 (하스웰 리프레시) (벌크 + 쿨러),\319400,Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i7-4790
103,LGA 1150,,[Intel] i7-4790K (데빌스캐년) (벌크),\514220,Core i7,Intel,4개,8개,4 Ghz,4.4 Ghz,8MB,HD 4600,1250Mhz,1600Mhz,88W,LGA 1150,X,X,i7-4790K
104,0,, ,,,,,,,,,,,,,,,,
105,LGA 2011-v3,,[Intel] i7-5820K (하스웰-E),\460000,Core i7,Intel,6개,12개,3.3 GHz,3.6 GHz,15MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5820K
106,LGA 2011-v3,,[Intel] i7-5930K (하스웰-E),\-,Core i7,Intel,6개,12개,3.5 GHz,3.7 GHz,15MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5930K
107,LGA 2011-v3,,[Intel] i7-5960X (하스웰-E),\1250000,Core i7,Intel,8개,16개,3 GHz,3.5 GHz,20MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5960X
108,0,, ,,,,,,,,,,,,,,,,
109,LGA 2011-v3,,[Intel] i7-6800K (브로드웰-E),\502000,Core i7,Intel,6개,12개,3.4 Ghz,3.8 Ghz,15MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6800K
110,LGA 2011-v3,,[Intel] i7-6850K (브로드웰-E),\640240,Core i7,Intel,6개,12개,3.6 Ghz,3.8 Ghz,15MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6850K
111,LGA 2011-v3,,[Intel] i7-6900K (브로드웰-E),\1255480,Core i7,Intel,8개,16개,3.2 GHz,3.7 GHz,20MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6900K
