,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
68,타워형 공랭,,[SCYTHE] FUMA 대양케이스,\74040,SCYTHE,타워형 공랭,150mm,149mm,4핀,,120mm,2개,25T,슬리브,300rpm,1400rpm,5.6CFM,79CFM,0.01mmH2O,1.56mmH2O,13dBA,28dBA,,,,,,O,O,O,O,,,,O,검정,,은색,,,,1년
69,타워형 공랭,,[SCYTHE] MUGEN MAX 대양케이스,\62000,SCYTHE,타워형 공랭,,161mm,4핀,,140mm,1개,25T,슬리브,500rpm,1300rpm,37.37CFM,97.18CFM,0.15mmH2O,1.02mmH2O,13dBA,30.7dBA,,,,,,O,O,O,O,,,,O,검정,,은색,,,,1년
70,타워형 공랭,,[SCYTHE] Ninja 4 대양케이스,\60320,SCYTHE,타워형 공랭,,155mm,4핀,,120mm,1개,25T,슬리브,300rpm,1500rpm,12.93CFM,84.64CFM,0.07mmH2O,1.79mmH2O,4dBA,29.5dBA,,,,,,O,O,O,O,,,,O,검정,,은색,,,,1년
71,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,타워형 공랭,,[시스기어] JONSBO CR-201 ROG AURA SYNC Special Edition,\58000,시스기어,타워형 공랭,180mm,160mm,4핀,,120mm,1개,25T,2볼,600rpm,1600rpm,,,,,18dBA,26.1dBA,,,,,,O,,O,,,,O,O,검정,,검정,RGB (MB/Cont),링/본체,,
73,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,타워형 공랭,,[써모랩] TRINITY WHITE LED,\40200,써모랩,타워형 공랭,180mm,150mm,4핀,,130mm,1개,25T,EBR,600rpm,1200rpm,,,,,16dBA,24dBA,,,,,,O,O,O,O,,,O,O,흰색,,은색,흰색,팬,,
75,타워형 공랭,,[써모랩] TRINITY S5.0,\38470,써모랩,타워형 공랭,180mm,150mm,4핀,,130mm,1개,25T,EBR,600rpm,1800rpm,,,,,16dBA,32dBA,,,,,,O,O,O,O,,,O,O,검정,,은색,,,,
76,타워형 공랭,,[써모랩] TRINITY,\38200,써모랩,타워형 공랭,180mm,150mm,4핀,,130mm,1개,25T,EBR,600rpm,1800rpm,,,,,16dBA,32dBA,,,,,,O,O,O,O,,,,O,검정,,은색,,,,
77,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
