,130,61.4,31.7,24000,[Fractal Design] Venturi Series HP-12 PWM,Fractal Design,120mm,25T,FDB,4핀,,1800rpm,,2년,,,검정,검정,
,131,83.4,25.3,22680,[Fractal Design] Venturi Series HP-12,Fractal Design,120mm,25T,FDB,3핀,,1400rpm,,2년,,,검정,검정,
,132,74.5,35.2,39000,[ID-COOLING] SF-12025 RGB TRIO (3PACK/REMOTE),ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1800rpm,18dBA,0.5년,RGB (MB/Cont),팬,투명,검정,
,133,50,30.5,48980,[ID-COOLING] RB-12025 RGB KIT 3RSYS (3PACK/RGB HUB),ID-COOLING,120mm,25T,,8핀,600rpm,1600rpm,16.2dBA,,RGB (Cont),링,검정,검정,
,134,62,26.4,9290,[ID-COOLING] SF-12025-W,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,18dBA,,흰색,팬,흰색,흰색,
,135,62,26.4,9290,[ID-COOLING] SF-12025-R,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,18dBA,,빨강,팬,흰색,검정,
,136,62,26.4,9290,[ID-COOLING] SF-12025-G,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,18dBA,,녹색,팬,흰색,검정,
,137,62,26.4,9290,[ID-COOLING] SF-12025-B,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,18dBA,,파랑,팬,흰색,검정,
,138,60,27.5,5660,[ID-COOLING] NO-12025-SD,ID-COOLING,120mm,25T,Hydraulic,3핀,,1600rpm,,,,,투명,검정,
,139,50,30.5,11200,[ID-COOLING] CF12025 WHITE LED PWM 3RSYS,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,16.2dBA,,흰색,링,검정,검정,
,140,50,30.5,11220,[ID-COOLING] CF12025 RED LED PWM 3RSYS,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,16.2dBA,,빨강,링,검정,검정,
,141,50,30.5,11220,[ID-COOLING] CF12025 GREEN LED PWM 3RSYS,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,16.2dBA,,녹색,링,검정,검정,
,142,50,30.5,11220,[ID-COOLING] CF12025 BLUE LED PWM 3RSYS,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,16.2dBA,,파랑,링,검정,검정,
,143,63.2,17.8,28790,[NOCTUA] NF-S12A PWM chromax black swap,NOCTUA,120mm,25T,SSO2,4핀,,1200rpm,,,,,검정,검정,
,144,54.9,22.4,29530,[NOCTUA] NF-F12 PWM chromax black swap,NOCTUA,120mm,25T,SSO2,4핀,,1500rpm,,,,,검정,검정,
,145,55.44,23.9,25900,[NOCTUA] NF-A12x15 PWM,NOCTUA,120mm,15T,SSO2,4핀,,1850rpm,,,,,갈색,살색,
,146,55.44,23.9,25900,[NOCTUA] NF-A12x15 FLX,NOCTUA,120mm,15T,SSO2,3핀,,1850rpm,,,,,갈색,살색,
,147,109.8,43.5,29910,[NOCTUA] NF-F12 IndustrialPPC-24V-3000 PWM IP67,NOCTUA,120mm,25T,SSO2,4핀,,3000rpm,,,,,검정,검정,
,148,71.7,29.7,34690,[NOCTUA] NF-F12 IndustrialPPC-2000 PWM IP67,NOCTUA,120mm,25T,SSO2,4핀,,2000rpm,,,,,검정,검정,
,149,71.7,29.7,29500,[NOCTUA] NF-F12 IndustrialPPC-2000 PWM,NOCTUA,120mm,25T,SSO2,4핀,,2000rpm,,,,,검정,검정,
,150,59.2,18.1,19190,[NOCTUA] NF-S12B redux-1200 PWM,NOCTUA,120mm,25T,SSO,4핀,,1200rpm,,,,,회색,회색,
,151,59.2,18.1,19190,[NOCTUA] NF-S12B redux-1200,NOCTUA,120mm,25T,SSO,3핀,,1200rpm,,,,,회색,회색,
,152,33.5,6.8,19500,[NOCTUA] NF-S12B redux-700,NOCTUA,120mm,25T,SSO,3핀,,700rpm,,,,,회색,회색,
,153,109.8,43.5,29500,[NOCTUA] NF-F12 IndustrialPPC-3000 PWM,NOCTUA,120mm,25T,SSO2,4핀,,3000rpm,,,,,검정,검정,
,154,71.7,29.7,28790,[NOCTUA] NF-F12 IndustrialPPC-2000,NOCTUA,120mm,25T,SSO2,3핀,,2000rpm,,,,,검정,검정,
,155,63.2,17.8,25750,[NOCTUA] NF-S12A PWM,NOCTUA,120mm,25T,SSO2,4핀,,1200rpm,,,,,갈색,살색,
,156,63.2,17.8,25000,[NOCTUA] NF-S12A FLX,NOCTUA,120mm,25T,SSO2,3핀,,1200rpm,,,,,갈색,살색,
,157,43.7,8.6,25500,[NOCTUA] NF-S12A ULN,NOCTUA,120mm,25T,SSO2,3핀,,800rpm,,,,,갈색,살색,
,158,54.3,19.8,24490,[NOCTUA] NF-P12 PWM,NOCTUA,120mm,25T,SSO,4핀,,1300rpm,,,,,갈색,살색,
,159,54.9,22.4,25200,[NOCTUA] NF-F12 PWM,NOCTUA,120mm,25T,SSO2,4핀,,1500rpm,,,,,갈색,살색,
,160,54.3,19.8,23310,[NOCTUA] NF-P12,NOCTUA,120mm,25T,SSO,3핀,,1300rpm,,,,,갈색,살색,
