,60,13420,514220,88,1,LGA 1150,[Intel] i7-4790K (데빌스캐년) (벌크),Core i7,Intel,4개,8개,4 Ghz,4.4 Ghz,8MB,HD 4600,1250,1600,
,61,15593,460000,140,1,LGA 2011-v3,[Intel] i7-5820K (하스웰-E),Core i7,Intel,6개,12개,3.3 GHz,3.6 GHz,15MB,N/A,0,2133,
,62,16369,460000,140,1,LGA 2011-v3,[Intel] i7-5930K (하스웰-E),Core i7,Intel,6개,12개,3.5 GHz,3.7 GHz,15MB,N/A,0,2133,
,63,19141,1250000,140,1,LGA 2011-v3,[Intel] i7-5960X (하스웰-E),Core i7,Intel,8개,16개,3 GHz,3.5 GHz,20MB,N/A,0,2133,
,64,16308,502000,140,1,LGA 2011-v3,[Intel] i7-6800K (브로드웰-E),Core i7,Intel,6개,12개,3.4 Ghz,3.8 Ghz,15MB,N/A,0,2400,
,65,17245,640240,140,1,LGA 2011-v3,[Intel] i7-6850K (브로드웰-E),Core i7,Intel,6개,12개,3.6 Ghz,3.8 Ghz,15MB,N/A,0,2400,
,66,21252,1255480,140,1,LGA 2011-v3,[Intel] i7-6900K (브로드웰-E),Core i7,Intel,8개,16개,3.2 GHz,3.7 GHz,20MB,N/A,0,2400,
,67,23971,2168060,140,1,LGA 2011-v3,[Intel] i7-6950X (브로드웰-E),Core i7,Intel,10개,20개,3 Ghz,3.5 Ghz,25MB,N/A,0,2400,
,68,27971,249700,65,0,LGA 1151,[Intel] i7-6700 (스카이레이크),Core i7,Intel,4개,8개,3.4 Ghz,4 Ghz,8MB,HD 530,1150,2133,
,69,28971,239750,91,1,LGA 1151,[Intel] i7-6700K (스카이레이크),Core i7,Intel,4개,8개,4 Ghz,4.2 Ghz,8MB,HD 530,1150,2133,
,70,22960,215800,65,0,LGA 1151,[Intel] i7-7700 (카비레이크),Core i7,Intel,4개,8개,3.6 Ghz,4.2 Ghz,8MB,HD 630,1150,2400,
,71,24433,237400,91,1,LGA 1151,[Intel] i7-7700K (카비레이크),Core i7,Intel,4개,8개,4.2 Ghz,4.5 Ghz,8MB,HD 630,1150,2400,
,72,29685,267800,112,1,LGA 2066,[Intel] i7-7740X (카비레이크-X),Core i7,Intel,4개,8개,4.3 Ghz,4.5 Ghz,8MB,N/A,0,2400,
,73,2532,511350,80,0,LGA 1150,[Intel] E3-1220 v3 (하스웰),Xeon,Intel,4개,4개,3.1 GHz,3.5 GHz,8MB,N/A,0,1600,
,74,8648,511350,84,0,LGA 1150,[Intel] E3-1225 v3 (하스웰),Xeon,Intel,4개,4개,3.2 GHz,3.6 GHz,8MB,HD P4600,1200,1600,
,75,9065,289670,84,0,LGA 1150,[Intel] E3-1226 v3 (하스웰 리프레시),Xeon,Intel,4개,4개,3.3 Ghz,3.7 Ghz,8MB,HD P4600,1200,1600,
,76,11190,511350,80,0,LGA 1150,[Intel] E3-1230 v3 (하스웰),Xeon,Intel,4개,8개,3.3 GHz,3.7 GHz,8MB,N/A,0,1600,
,77,11555,291000,80,0,LGA 1150,[Intel] E3-1231 v3 (하스웰 리프레시),Xeon,Intel,4개,8개,3.4 Ghz,3.8 Ghz,8MB,N/A,0,1600,
,78,11623,511350,80,0,LGA 1150,[Intel] E3-1240 v3 (하스웰),Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,N/A,0,1600,
,79,12026,367690,80,0,LGA 1150,[Intel] E3-1241 v3 (하스웰 리프레시),Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,N/A,0,1600,
,80,11486,1022710,84,0,LGA 1150,[Intel] E3-1245 v3 (하스웰),Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,HD P4600,1200,1600,
,81,11870,370190,84,0,LGA 1150,[Intel] E3-1246 v3 (하스웰 리프레시),Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD P4600,1200,1600,
