,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
101,,,-- SuperFlower --,,,,,,,,,,,,,,,,,,,
102,,, ,,,,,,,,,,,,,,,,,,,
103,1000,,[SuperFlower] SF-1000F14MG LEADEX GOLD,\255000,SuperFlower,ATX,1000W,O,싱글,83.3,5,10,,6,O,풀,O,,O,골드,200,7
104,1000,,[SuperFlower] SF-1000F14MP LEADEX PLATINUM,\280000,SuperFlower,ATX,1000W,O,싱글,83.3,5,10,,6,O,풀,O,O,O,플래티넘,200,7
105,1000,,[SuperFlower] SF-1300F14MG LEADEX GOLD,\350000,SuperFlower,ATX,1300W,O,싱글,108.3,5,10,,8,O,풀,O,,O,골드,200,7
106,1000,,[SuperFlower] SF-1300F14MG LEADEX GOLD (WHITE),\350000,SuperFlower,ATX,1300W,O,싱글,108.3,5,10,,8,,O,O,,O,골드,200,7
107,1000,,[SuperFlower] SF-1600F14HT LEADEX TITANIUM,\530000,SuperFlower,ATX,1600W,O,싱글,133.3,5,14,6,9,,풀,O,O,O,티타늄,225,7
108,1000,,[SuperFlower] SF-2000F14HP LEADEX PLATINUM,\530000,SuperFlower,ATX,2000W,O,싱글,166.6,6,16,5,9,,풀,O,O,,플래티넘,225,7
109,500,,[SuperFlower] SF-500P14MS SILVER ECO 90+,\69000,SuperFlower,ATX,500W,O,싱글,41.6,3,5,,2,,O,,,,실버,150,7
110,500,,[SuperFlower] SF-500P14XE GOLDEN GREEN HX,\76490,SuperFlower,ATX,500W,O,싱글,41.5,3,4,1,1,O,,O,,O,골드,150,7
111,500,,[SuperFlower] SF-500R12A NOVA 80PLUS,\42400,SuperFlower,ATX,500W,O,싱글,37.5,4,6,,2,,,O,O,,스탠다드,140,5
112,500,,[SuperFlower] SF-500R12N,\33280,SuperFlower,ATX,500W,,싱글,36,2,4,1,1,,,O,,,,140,3
113,500,,[SuperFlower] SF-500R14SE Silver Green FX,\56700,SuperFlower,ATX,500W,O,싱글,41.5,3,4,,2,O,,O,,O,실버,145,7
114,600,,[SuperFlower] SF-600P12A SE,\61590,SuperFlower,ATX,600W,O,싱글,44,4,6,2,2,,,O,,,,150,3
115,600,,[SuperFlower] SF-600P14MS SILVER ECO 90+,\79000,SuperFlower,ATX,600W,O,싱글,49.9,3,6,,3,,O,,,,실버,150,7
116,600,,[SuperFlower] SF-600P14XE Golden Green HX,\90200,SuperFlower,ATX,600W,O,싱글,49.5,4,5,1,1,,,O,,O,골드,150,7
117,600,,[SuperFlower] SF-600R12A NOVA,\53000,SuperFlower,ATX,600W,O,싱글,46,4,6,,2,O,,O,,,,140,5
