,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,
81,140,,[써멀테이크] Riing 14 LED FAN Blue 아스크텍,\16520,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,파랑,링,
82,140,, ,,,140mm,,,,,,,,,,,,,,,,
83,140,,[쿨러마스터] MASTERFAN PRO 140 Air Pressure RGB,\26500,쿨러마스터,140mm,25T,,4핀,650rpm,1550rpm,,46.2CFM,,1.59mmH2O,6dBA,20dBA,투명,검정, RGB (MB),팬,5년
84,140,,[쿨러마스터] MASTERFAN PRO 140 Air Flow RGB,\28260,쿨러마스터,140mm,25T,,4핀,500rpm,800rpm,,53CFM,,0.54mmH2O,6dBA,20dBA,투명,검정, RGB (MB),팬,5년
85,,, ,,,,,,,,,,,,,,,,,,,
86,,,-- 120mm --,,,,,,,,,,,,,,,,,,,
87,,, ,,,,,,,,,,,,,,,,,,,
88,120,,[ABKO] SUITMASTER HALO 120F RGB SPECTRUM KIT,\65100,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,33CFM,,1.3mmH2O,,23.5dBA,투명,검정,7C (Cont),링,
89,120,,[ABKO] SUITMASTER HALO 120F RGB SPECTRUM,\20000,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,33CFM,,1.3mmH2O,,23.5dBA,투명,검정,7C (Cont),링,
90,120,,[ABKO] SUITMASTER HALO DOUBLING 120F RGB REMOTE KIT,\40000,ABKO,120mm,25T,Hydro,6핀,,1500rpm,,34.34CFM,,1.51mmH2O,,25dBA,검정,검정,7C (Cont),링,
91,120,,[ABKO] SUITMASTER HALO DOUBLING 120F RGB,\17250,ABKO,120mm,25T,Hydro,6핀,,1500rpm,,34.34CFM,,1.51mmH2O,,25dBA,검정,검정,7C (Cont),링,
92,120,,[ABKO] SUITMASTER HALO DOUBLING 120F WHITE,\15000,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,34.34CFM,,1.51mmH2O,,25dBA,검정,검정,흰색,링,
93,120,,[ABKO] SUITMASTER HALO DOUBLING 120F RED,\15000,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,34.34CFM,,1.51mmH2O,,25dBA,검정,검정,빨강,링,
94,120,,[ABKO] SUITMASTER HALO DOUBLING 120F BLUE,\15000,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,34.34CFM,,1.51mmH2O,,25dBA,검정,검정,파랑,링,
95,120,,[ABKO] SUITMASTER HALO 120F RGB REMOTE KIT,\33000,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,33CFM,,1.3mmH2O,,23.5dBA,투명,검정,7C (Cont),링,
96,120,,[ABKO] SUITMASTER HALO 120F RGB,\14000,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,33CFM,,1.3mmH2O,,23.5dBA,투명,검정,7C (Cont),링,
