,,,SSD 제품,가격,제조사,용량,폼팩터,전송방식,저장 방식,컨트롤러,읽기 속도,쓰기 속도,TRIM,GC,S.M.A.R.T,ECC,DEVSLP,SLC 캐싱,두께,A/S,
116,인텔,,[인텔] 540s 120GB,\82370,인텔,120GB,2.5",SATA3,TLC,,560MB/s,480MB/s,,,,,O,,7mm,,
117,인텔,,[인텔] 540s 240GB,\127230,인텔,240GB,2.5",SATA3,TLC,,560MB/s,480MB/s,,,,,O,,7mm,,
118,인텔,,[인텔] 540s 480GB,\285000,인텔,480GB,2.5",SATA3,TLC,,560MB/s,480MB/s,,,,,O,,7mm,,
119,인텔,,[인텔] 540s 1TB,\440000,인텔,1000GB,2.5",SATA3,TLC,,560MB/s,480MB/s,,,,,O,,7mm,,
120,인텔,,[인텔] DC S3510 800GB,\700000,인텔,800GB,2.5",SATA3,MLC,,500MB/s,460MB/s,O,,O,,,,,5년,
121,인텔,,[인텔] 750 400GB,\451000,인텔,400GB,PCIe,NVMe,MLC,,2200MB/s,900MB/s,,O,,,,,,5년,
122,인텔,,[인텔] 750 800GB,\848700,인텔,800GB,PCIe,NVMe,MLC,,2200MB/s,900MB/s,,O,,,,,,5년,
123,인텔,,[인텔] 750 1.2TB,\1542600,인텔,1200GB,PCIe,NVMe,MLC,,2200MB/s,900MB/s,,O,,,,,,5년,
124,인텔,,[인텔] 535 M.2 2280 120GB,\97000,인텔,120GB,M.2 2280,SATA3,MLC,인텔,540MB/s,490MB/s,O,,O,,,,3.58mm,5년,
125,,, ,,,,,,,,,,,,,,,,,,
126,,,-- 타무즈 --,,,,,,,,,,,,,,,,,,
127,,, ,,,,,,,,,,,,,,,,,,
128,타무즈,,[타무즈] MX380 mSATA 128GB,\64000,타무즈,128GB,mSATA,SATA3,3D MLC,Maxiotek MK8115,550MB/s,500MB/s,O,O,,O,,O,3.5mm,3년,
129,타무즈,,[타무즈] MX380 mSATA 256GB,\101040,타무즈,256GB,mSATA,SATA3,3D MLC,Maxiotek MK8115,550MB/s,500MB/s,O,O,,O,,O,3.5mm,3년,
130,타무즈,,[타무즈] M540 M.2 2280 128GB,\61740,타무즈,128GB,M.2 2280,SATA3,3D MLC,Maxiotek MK8115,500MB/s,460MB/s,O,O,O,O,O,O,,3년,
131,타무즈,,[타무즈] M540 M.2 2280 256GB,\101000,타무즈,256GB,M.2 2280,SATA3,3D MLC,Maxiotek MK8115,500MB/s,460MB/s,O,O,O,O,O,O,,3년,
132,타무즈,,[타무즈] M540 M.2 2280 512GB,\180500,타무즈,512GB,M.2 2280,SATA3,3D MLC,Maxiotek MK8115,500MB/s,460MB/s,O,O,O,O,O,O,,3년,
133,타무즈,,[타무즈] M540 M.2 2280 1TB,\351160,타무즈,1024GB,M.2 2280,SATA3,3D MLC,Maxiotek MK8115,500MB/s,460MB/s,O,O,O,O,O,O,,3년,
134,타무즈,,[타무즈] M550 M.2 2280 128GB,\-,타무즈,128GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,570MB/s,520MB/s,O,O,O,O,O,O,2.25mm,3년,
135,타무즈,,[타무즈] M550 M.2 2280 256GB,\-,타무즈,256GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,570MB/s,520MB/s,O,O,O,O,O,O,2.25mm,3년,
136,타무즈,,[타무즈] M550 M.2 2280 512GB,\219360,타무즈,512GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,570MB/s,520MB/s,O,O,O,O,O,O,2.25mm,3년,
137,타무즈,,[타무즈] RX631 64GB,\38540,타무즈,64GB,2.5",SATA3,3D MLC,마벨 88NV1120,480MB/s,270MB/s,O,,O,O,O,O,7mm,3년,
138,타무즈,,[타무즈] RX550 128GB,\51300,타무즈,128GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,460MB/s,O,O,O,O,O,O,7mm,3년,
139,타무즈,,[타무즈] RX550 256GB,\98200,타무즈,256GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,460MB/s,O,O,O,O,O,O,7mm,3년,
140,타무즈,,[타무즈] M530 M.2 2280 120GB,\61200,타무즈,120GB,M.2 2280,SATA3,TLC,마벨 88NV1120,535MB/s,405MB/s,O,,O,O,,,,3년,
141,타무즈,,[타무즈] M720 M.2 2280 128GB,\87820,타무즈,128GB,M.2 2280,NVMe 1.2,MLC,파이슨 PS5007-E7,2750MB/s,1450MB/s,O,,O,O,,,3mm,5년,
142,타무즈,,[타무즈] M720 M.2 2280 256GB,\136790,타무즈,256GB,M.2 2280,NVMe 1.2,MLC,파이슨 PS5007-E7,2750MB/s,1450MB/s,O,,O,O,,,3mm,5년,
143,타무즈,,[타무즈] M720 M.2 2280 512GB,\272000,타무즈,512GB,M.2 2280,NVMe 1.2,MLC,파이슨 PS5007-E7,2750MB/s,1450MB/s,O,,O,O,,,3mm,5년,
144,타무즈,,[타무즈] RX540 128GB,\51390,타무즈,128GB,2.5",SATA3,3D TLC,JMicron,560MB/s,350MB/s,O,O,,O,,,7mm,,
145,타무즈,,[타무즈] RX540 256GB,\89620,타무즈,256GB,2.5",SATA3,3D TLC,JMicron,560MB/s,350MB/s,O,O,,O,,,7mm,,
146,타무즈,,[타무즈] RX470 120GB,\59770,타무즈,120GB,2.5",SATA3,TLC,실리콘모션 SM2256,520MB/s,470MB/s,,O,,,,O,7mm,3년,
147,타무즈,,[타무즈] RX470 240GB,\94870,타무즈,240GB,2.5",SATA3,TLC,실리콘모션 SM2256,520MB/s,470MB/s,,O,,,,O,7mm,3년,
148,타무즈,,[타무즈] RX460 120GB,\48900,타무즈,120GB,2.5",SATA3,TLC,마벨 88NV1120,530MB/s,400MB/s,O,,O,O,,O,7mm,3년,
149,타무즈,,[타무즈] RX460 240GB,\82400,타무즈,240GB,2.5",SATA3,TLC,마벨 88NV1120,530MB/s,400MB/s,O,,O,O,,O,7mm,3년,
150,타무즈,,[타무즈] RX630 32GB,\29750,타무즈,32GB,2.5",SATA3,MLC,실리콘모션 2246,230MB/s,50MB/s,O,,,,,,,3년,
151,타무즈,,[타무즈] RX630 64GB,\38450,타무즈,64GB,2.5",SATA3,MLC,실리콘모션 2246,230MB/s,50MB/s,O,,,,,,,3년,
152,타무즈,,[타무즈] RX630 128GB,\62110,타무즈,128GB,2.5",SATA3,MLC,실리콘모션 2246,230MB/s,50MB/s,O,,,,,,,3년,
153,타무즈,,[타무즈] RX630 256GB,\97000,타무즈,256GB,2.5",SATA3,MLC,실리콘모션 2246,230MB/s,50MB/s,O,,,,,,,3년,
154,타무즈,,[타무즈] MX370 mSATA 128GB,\68710,타무즈,128GB,mSATA,SATA3,MLC,실리콘모션 SM2246EN,550MB/s,170MB/s,O,,,,,,,3년,
155,타무즈,,[타무즈] MX370 mSATA 256GB,\106220,타무즈,256GB,mSATA,SATA3,MLC,실리콘모션 SM2246EN,550MB/s,170MB/s,O,,,,,,,3년,
156,타무즈,,[타무즈] M520 M.2 2280 128GB,\67180,타무즈,128GB,M.2 2280,SATA3,MLC,실리콘모션 SM2246EN,550MB/s,170MB/s,O,,,,,,3mm,3년,
157,타무즈,,[타무즈] M520 M.2 2280 256GB,\128000,타무즈,256GB,M.2 2280,SATA3,MLC,실리콘모션 SM2246EN,550MB/s,170MB/s,O,,,,,,3mm,3년,
158,타무즈,,[타무즈] M520 M.2 2280 512GB,\225000,타무즈,512GB,M.2 2280,SATA3,MLC,실리콘모션 SM2246EN,550MB/s,170MB/s,O,,,,,,3mm,3년,
159,,, ,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,
