93,[Intel] i9-7960X (스카이레이크-X),\1777000,Core i9,Intel,16개,32개,2.8 GHz,4.2 GHz,22MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7960X
94,[Intel] i9-7980XE (스카이레이크-X),\2180130,Core i9,Intel,18개,36개,2.6 GHz,4.2 GHz,24.75MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7980XE
95,[Intel] i7-8700 (커피레이크),\379900,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,O,O,i7-8700
96,[Intel] i7-8700 (커피레이크)(벌크),\360000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,X,i7-8700
97,[Intel] i7-8700 (커피레이크)(벌크+쿨러),\365000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,O,i7-8700
98,[Intel] i7-8700K (커피레이크),\395000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8700K
99,[Intel] i7-8700K (커피레이크)(벌크),\385000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,X,i7-8700K
100,[Intel] i7-8700K (커피레이크)(벌크+쿨러),\393000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,O,i7-8700K
101,[Intel] i7-8086K (커피레이크),\489500,Core i7,Intel,6개,12개,4 Ghz,5 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8086K
102,[Intel] E3-1220 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.1 GHz,3.5 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1220 v3
103,[Intel] E3-1225 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.2 GHz,3.6 GHz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1225 v3
104,[Intel] E3-1226 v3 (하스웰 리프레시),\289670,Xeon,Intel,4개,4개,3.3 Ghz,3.7 Ghz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1226 v3
105,[Intel] E3-1230 v3 (하스웰),\511350,Xeon,Intel,4개,8개,3.3 GHz,3.7 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1230 v3
106,[Intel] E3-1231 v3 (하스웰 리프레시),\291000,Xeon,Intel,4개,8개,3.4 Ghz,3.8 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1231 v3
107,[Intel] E3-1240 v3 (하스웰),\511350,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1240 v3
108,[Intel] E3-1241 v3 (하스웰 리프레시),\367690,Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1241 v3
109,[Intel] E3-1245 v3 (하스웰),\1022710,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1245 v3
110,[Intel] E3-1246 v3 (하스웰 리프레시),\370190,Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1246 v3
111,[Intel] E3-1270 v3 (하스웰),\487930,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1270 v3
112,[Intel] E3-1271 v3 (하스웰 리프레시),\437790,Xeon,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1271 v3
113,[Intel] E3-1275 v3 (하스웰),\1022710,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,HD P4600,1250Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1275 v3
114,[Intel] E3-1276 v3 (하스웰 리프레시),\1022710,Xeon,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD P4600,1250Mhz,1600Mhz,82W,LGA 1150,O,O,E3-1276 v3
115,[Intel] E3-1220 v5 (스카이레이크),\253000,Xeon,Intel,4개,4개,3 GHz,3.5 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1220 v5
116,[Intel] E3-1225 v5 (스카이레이크),\269720,Xeon,Intel,4개,4개,3.3 GHz,3.7 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1225 v5
117,[Intel] E3-1230 v5 (스카이레이크),\311620,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1230 v5
118,[Intel] E3-1240 v5 (스카이레이크),\343550,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1240 v5
119,[Intel] E3-1245 v5 (스카이레이크),\365130,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1245 v5
120,[Intel] E3-1270 v5 (스카이레이크),\419200,Xeon,Intel,4개,8개,3.6 GHz,4 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1270 v5
121,[Intel] E3-1275 v5 (스카이레이크),\418840,Xeon,Intel,4개,8개,3.6 GHz,4 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1275 v5
122,[Intel] E3-1220 v6 (카비레이크),\254390,Xeon,Intel,4개,4개,3 GHz,3.5 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1220 v6
123,[Intel] E3-1225 v6 (카비레이크),\279000,Xeon,Intel,4개,4개,3.3 GHz,3.7 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1225 v6
124,[Intel] E3-1230 v6 (카비레이크),\323280,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1230 v6
125,[Intel] E3-1240 v6 (카비레이크),\333800,Xeon,Intel,4개,8개,3.7 GHz,4.1 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1240 v6
126,[Intel] E3-1245 v6 (카비레이크),\367140,Xeon,Intel,4개,8개,3.7 GHz,4.1 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1245 v6
127,[Intel] E3-1270 v6 (카비레이크),\422030,Xeon,Intel,4개,8개,3.8 GHz,4.2 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1270 v6
128,[Intel] E3-1275 v6 (카비레이크),\430000,Xeon,Intel,4개,8개,3.8 GHz,4.2 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1275 v6
129,[Intel] E3-1280 v6 (카비레이크),\796530,Xeon,Intel,4개,8개,3.9 GHz,4.2 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1280 v6
130,[AMD] R5 2400G (레이븐 릿지),\127900,Ryzen 5,AMD,4개,8개,3.6 GHz,3.9 GHz,4MB,RX Vega 11,1250Mhz,2933Mhz,65W,PGA AM4,O,O,R5 2400G
131,[AMD] R3 2200G (레이븐 릿지),\72500,Ryzen 3,AMD,4개,4개,3.5 GHz,3.7 GHz,4MB,Vega 8,1100Mhz,2933Mhz,65W,PGA AM4,O,O,R3 2200G
132,[AMD] A12 9800 (브리스톨 릿지) (멀티팩),\101690,APU,AMD,4개,4개,3.8 GHz,4.2 GHz,0MB,R7 (Bristol Ridge 8CUs),1108Mhz,2400Mhz,65W,PGA AM4,O,O,A12-9800
133,[AMD] A10 9700 (브리스톨 릿지) (멀티팩),\80300,APU,AMD,4개,4개,3.5 GHz,3.8 GHz,0MB,R7 (Bristol Ridge 6CUs),1029Mhz,2400Mhz,65W,PGA AM4,O,O,A10-9700
